keyword	proto_id	path	depth	const_index	decoded
tab_cha	1	0.0	1	0	tab_cha
VIP	1	0.0	1	42	vip_hire_begintime
vip	1	0.0	1	42	vip_hire_begintime
NPC	1	0.0	1	1017	点击NPC可购买各类饰品装备
npc	1	0.0	1	1017	点击NPC可购买各类饰品装备
NPC	1	0.0	1	1251	点击NPC可传送到各大副本
npc	1	0.0	1	1251	点击NPC可传送到各大副本
隐藏英雄	1	0.0	1	1391	隐藏英雄，输入秘籍才能使用
赞助	1	0.0	1	1424	【赞助一】
专属	1	0.0	1	1754	专属
赞助	1	0.0	1	1828	★赞助专属英雄★;r=255;g=255;b=0;
专属	1	0.0	1	1828	★赞助专属英雄★;r=255;g=255;b=0;
赞助	1	0.0	1	2792	【赞助二】
tab_sceneobj	3	0.2	1	0	tab_sceneobj
角色	4	0.3	1	17	角色阴影
角色	4	0.3	1	35	角色阴影(彩光)
AddCha	5	0.4	1	107	skilleffaddchance
AddCha	5	0.4	1	116	atkaddchance
怪物	5	0.4	1	371	狂怒击(怪物)
怪物	5	0.4	1	398	醉卧沙场(怪物)
建筑	5	0.4	1	479	在原地召唤出2个具有范围杀伤力的龙卷风,自动攻击敌人,对魔免与建筑都有效果,召唤上限6个。
boss	5	0.4	1	486	火焰之雨(BOSS)
boss	5	0.4	1	528	召唤长枪兵(Boss)
boss	5	0.4	1	560	暗渊领域(BOSS)
角色	5	0.4	1	642	\t提高角色最大HP值\t
专属	5	0.4	1	654	杀神(新魔王专属)
怪物	5	0.4	1	667	删除怪物
怪物	5	0.4	1	810	『寒冰爆』怪物
boss	5	0.4	1	972	净化(BOSS)
怪物	5	0.4	1	1106	割裂(怪物)
怪物	5	0.4	1	1458	致命一击(怪物)
boss	5	0.4	1	1507	盗灵异术boss
boss	5	0.4	1	1518	扇刃乱舞boss
boss	5	0.4	1	1586	十字斩(BOSS)
boss	5	0.4	1	1591	扇刃boss
boss	5	0.4	1	1595	星落(BOSS)
建筑	5	0.4	1	1598	向指定区域召唤一颗陨石,在2.5秒后,陨石坠落并对范围内的敌人和建筑造成伤害,并眩晕2秒
怪物	5	0.4	1	1623	提高大乔攻击速度,并且击杀怪物增加魔法值
boss	5	0.4	1	1788	接受击杀BOSS任务
专属	5	0.4	1	2100	九幽魔王专属
boss	5	0.4	1	2314	灭世之火boss
怪物	5	0.4	1	2318	冰箭(怪物)
建筑	5	0.4	1	2377	向指定区域召唤一颗陨石,在0.5秒后,陨石坠落并对范围内的敌人和建筑造成伤害,并眩晕2秒
建筑	5	0.4	1	2430	向指定区域召唤一颗陨石,在0.5秒后,陨石坠落并对范围内的敌人和建筑造成伤害,并眩晕2.5秒
建筑	5	0.4	1	2434	向指定区域召唤一颗陨石,在0.5秒后,陨石坠落并对范围内的敌人和建筑造成伤害,并眩晕3秒
建筑	5	0.4	1	2460	1级 敏捷+10％，每次攻击附加敏捷*0.6真实伤害（对建筑造成的伤害翻倍），对魔免有效。\n2级 敏捷+20％，每次攻击附加敏捷*0.6真实伤害（对建筑造成的伤害翻倍），对魔免有效。\n3级 敏捷+30％，每次攻击附加敏捷*0.6真实伤害（对建筑造成的伤害翻倍），对魔免有效。\n4级 敏捷+40％，每次攻击附加敏捷*0.6真实伤害（对建筑造成的伤害翻倍），对魔免有效。
专属	5	0.4	1	2577	杀神(魔王专属)
boss	5	0.4	1	2983	幻影分身(boss)
boss	5	0.4	1	3020	猛虎撕裂boss
金币	5	0.4	1	3274	释放技能有33％几率增加1点智力,33％几率增加10点生命,33％几率增加200金币。
怪物	5	0.4	1	3361	小乔E(怪物)
怪物	5	0.4	1	3380	凿击(怪物)
怪物	5	0.4	1	3386	星落怪物
boss	5	0.4	1	3402	BOSS：魔免，适合战士打
boss	5	0.4	1	3449	BOSS：不魔免，每隔几秒不受伤害
怪物	5	0.4	1	3458	百步穿杨(怪物)
怪物	5	0.4	1	3507	剑气飞行(怪物)
怪物	5	0.4	1	3510	刀气贯穿(怪物)
怪物	5	0.4	1	3516	妙笔回春(怪物)
怪物	5	0.4	1	3519	提高攻击速度,并且击杀怪物增加自身的攻击力
建筑	5	0.4	1	3741	1级 15％概率造成3500点伤害，对魔免建筑都有效，弹射8次。\n2级 20％概率造成3500点伤害，对魔免建筑都有效，弹射8次。\n3级 25％概率造成3500点伤害，对魔免建筑都有效，弹射8次。\n4级 30％概率造成3500点伤害，对魔免建筑都有效，弹射8次。
建筑	5	0.4	1	3742	普通攻击有几率触发破敌箭，对魔免建筑都有效果。
怪物	5	0.4	1	3789	怪物(反弹)
怪物	5	0.4	1	3816	幻影分身（怪物）
boss	5	0.4	1	3942	BOSS：不魔免，免控，很耐揍
怪物	5	0.4	1	4182	1级 每杀死20个怪物,邪灵等级+1,最多可练就:5级邪灵,给自身带来15点全属性。\n2级 每杀死20个怪物,邪灵等级+1,最多可练就:10级邪灵,给自身带来55点全属性。\n3级 每杀死20个怪物,邪灵等级+1,最多可练就:15级邪灵,给自身带来120点全属性。\n4级 每杀死20个怪物,邪灵等级+1,最多可练就:20级邪灵,给自身带来210点全属性。
怪物	5	0.4	1	4183	每杀死20个怪物，吸收对方的灵魂并获得一个1级邪灵，每级的邪灵都增加对应的全属性(比如1级邪灵=全属性+1，2级=全属性+2...)最多20级。
boss	5	0.4	1	4309	冲锋(BOSS)
boss	5	0.4	1	4311	吸魔(BOSS)
boss	5	0.4	1	4314	剧毒兵(BOSS)
boss	5	0.4	1	4317	百分比破甲(BOSS)
boss	5	0.4	1	4320	重伤(BOSS)
boss	5	0.4	1	4329	焰击波(boss)
怪物	5	0.4	1	4332	秒杀一切怪物
