id	path	depth	start	end	size	source	line_defined	last_line_defined	ncode	nconst	nchild	maxstack	nloc	nupv	top_globals_get	top_globals_set	top_ops
1	0.0	1	0x144	0x1be4e7	1827747	tab_cha.lua	0	0	223480	3159	0	25	0	0	"[[""tab_cha"", 540], [""table"", 1]]"	"[[""tab_cha"", 1]]"	"{""NEWTABLE"": 12937, ""SETGLOBAL"": 1, ""GETGLOBAL"": 541, ""GETTABLE"": 1, ""LOADK"": 105220, ""CALL"": 1, ""SETLIST"": 6141, ""SETTABLE"": 98637, ""RETURN"": 1}"
2	0.1	1	0x1be4e7	0x1be58e	167	tab_terrain.lua	0	0	8	4	0	3	0	0	"[[""table"", 1], [""tab_terrain"", 1]]"	"[[""tab_terrain"", 1]]"	"{""NEWTABLE"": 1, ""SETGLOBAL"": 1, ""GETGLOBAL"": 2, ""GETTABLE"": 1, ""LOADK"": 1, ""CALL"": 1, ""RETURN"": 1}"
3	0.2	1	0x1be58e	0x1c4c16	26248	tab_sceneobj.lua	0	0	2316	468	0	5	0	0	"[[""tab_sceneobj"", 138], [""table"", 1]]"	"[[""tab_sceneobj"", 1]]"	"{""NEWTABLE"": 275, ""SETGLOBAL"": 1, ""GETGLOBAL"": 139, ""GETTABLE"": 1, ""LOADK"": 528, ""CALL"": 1, ""SETTABLE"": 1370, ""RETURN"": 1}"
4	0.3	1	0x1c4c16	0x1c5169	1363	tab_shadow.lua	0	0	89	36	0	3	0	0	"[[""tab_shadow"", 10], [""table"", 1]]"	"[[""tab_shadow"", 1]]"	"{""NEWTABLE"": 19, ""SETGLOBAL"": 1, ""GETGLOBAL"": 11, ""GETTABLE"": 1, ""LOADK"": 1, ""CALL"": 1, ""SETTABLE"": 54, ""RETURN"": 1}"
5	0.4	1	0x1c5169	0xe57189	13180960	tab_skill.lua	0	0	1616243	5477	0	25	0	0	"[[""tab_skill"", 1625], [""table"", 1]]"	"[[""tab_skill"", 1]]"	"{""NEWTABLE"": 196474, ""SETGLOBAL"": 1, ""GETGLOBAL"": 1626, ""GETTABLE"": 1, ""LOADK"": 757745, ""CALL"": 1, ""SETLIST"": 139090, ""SETTABLE"": 521304, ""RETURN"": 1}"
6	0.5	1	0xe57189	0x10ee97e	2717685	tab_skilleff.lua	0	0	335725	2495	0	55	0	0	"[[""tab_skilleff"", 1026], [""table"", 1]]"	"[[""tab_skilleff"", 1]]"	"{""NEWTABLE"": 34816, ""SETGLOBAL"": 1, ""GETGLOBAL"": 1027, ""GETTABLE"": 1, ""LOADK"": 158472, ""CALL"": 1, ""SETLIST"": 31731, ""SETTABLE"": 109675, ""RETURN"": 1}"
7	0.6	1	0x10ee97e	0x11dad1a	967580	tab_item.lua	0	0	109759	2258	0	16	0	0	"[[""tab_item"", 686], [""table"", 1]]"	"[[""tab_item"", 1]]"	"{""NEWTABLE"": 10776, ""SETGLOBAL"": 1, ""GETGLOBAL"": 687, ""GETTABLE"": 1, ""LOADK"": 46316, ""CALL"": 1, ""SETLIST"": 4026, ""SETTABLE"": 47950, ""RETURN"": 1}"
8	0.7	1	0x11dad1a	0x11e0c4c	24370	tab_sound.lua	0	0	2218	357	0	5	0	0	"[[""tab_sound"", 130], [""table"", 1]]"	"[[""tab_sound"", 1]]"	"{""NEWTABLE"": 259, ""SETGLOBAL"": 1, ""GETGLOBAL"": 131, ""GETTABLE"": 1, ""LOADK"": 147, ""CALL"": 1, ""SETTABLE"": 1677, ""RETURN"": 1}"
9	0.8	1	0x11e0c4c	0x1210711	195269	tab_effect.lua	0	0	19112	2239	0	5	0	0	"[[""tab_effect"", 769], [""table"", 1]]"	"[[""tab_effect"", 1]]"	"{""NEWTABLE"": 1537, ""SETGLOBAL"": 1, ""GETGLOBAL"": 770, ""GETTABLE"": 1, ""LOADK"": 7585, ""CALL"": 1, ""SETTABLE"": 9216, ""RETURN"": 1}"
10	0.9	1	0x1210711	0x1210f23	2066	tab_upgrade.lua	0	0	150	52	0	6	0	0	"[[""tab_upgrade"", 5], [""table"", 1]]"	"[[""tab_upgrade"", 1]]"	"{""NEWTABLE"": 16, ""SETGLOBAL"": 1, ""GETGLOBAL"": 6, ""GETTABLE"": 1, ""LOADK"": 9, ""CALL"": 1, ""SETTABLE"": 108, ""SETLIST"": 7, ""RETURN"": 1}"
