iat_va	dll	name	ordinal
0x65b850	PSAPI.DLL	GetProcessMemoryInfo	
0x65bd74	iphlpapi.dll	GetAdaptersAddresses	
0x65bc7c	USERENV.dll	GetUserProfileDirectoryW	
0x65b390	KERNEL32.dll	CopyFileA	
0x65b394	KERNEL32.dll	GlobalFree	
0x65b398	KERNEL32.dll	MulDiv	
0x65b39c	KERNEL32.dll	GetThreadPriority	
0x65b3a0	KERNEL32.dll	SuspendThread	
0x65b3a4	KERNEL32.dll	GlobalDeleteAtom	
0x65b3a8	KERNEL32.dll	GlobalFindAtomA	
0x65b3ac	KERNEL32.dll	GlobalAddAtomA	
0x65b3b0	KERNEL32.dll	GlobalGetAtomNameA	
0x65b3b4	KERNEL32.dll	lstrcmpW	
0x65b3b8	KERNEL32.dll	GetThreadLocale	
0x65b3bc	KERNEL32.dll	EnumResourceLanguagesA	
0x65b3c0	KERNEL32.dll	ConvertDefaultLocale	
0x65b3c4	KERNEL32.dll	lstrcmpA	
0x65b3c8	KERNEL32.dll	FindNextFileA	
0x65b3cc	KERNEL32.dll	GlobalSize	
0x65b3d0	KERNEL32.dll	LockFile	
0x65b3d4	KERNEL32.dll	UnlockFile	
0x65b3d8	KERNEL32.dll	GetVolumeInformationA	
0x65b3dc	KERNEL32.dll	GetShortPathNameA	
0x65b3e0	KERNEL32.dll	GetAtomNameA	
0x65b3e4	KERNEL32.dll	LocalAlloc	
0x65b3e8	KERNEL32.dll	GlobalHandle	
0x65b3ec	KERNEL32.dll	GlobalReAlloc	
0x65b3f0	KERNEL32.dll	LocalReAlloc	
0x65b3f4	KERNEL32.dll	SystemTimeToFileTime	
0x65b3f8	KERNEL32.dll	GlobalFlags	
0x65b3fc	KERNEL32.dll	GetProfileIntA	
0x65b400	KERNEL32.dll	GetFileTime	
0x65b404	KERNEL32.dll	LocalFileTimeToFileTime	
0x65b408	KERNEL32.dll	SetFileAttributesA	
0x65b40c	KERNEL32.dll	FindResourceExA	
0x65b410	KERNEL32.dll	GetTempFileNameA	
0x65b414	KERNEL32.dll	GetDiskFreeSpaceA	
0x65b418	KERNEL32.dll	SetEnvironmentVariableA	
0x65b41c	KERNEL32.dll	SetEndOfFile	
0x65b420	KERNEL32.dll	GetLocaleInfoW	
0x65b424	KERNEL32.dll	OpenFileMappingA	
0x65b428	KERNEL32.dll	OpenEventA	
0x65b42c	KERNEL32.dll	GetConsoleOutputCP	
0x65b430	KERNEL32.dll	WriteConsoleA	
0x65b434	KERNEL32.dll	GetUserDefaultLCID	
0x65b438	KERNEL32.dll	EnumSystemLocalesA	
0x65b43c	KERNEL32.dll	IsValidLocale	
0x65b440	KERNEL32.dll	GetLocaleInfoA	
0x65b444	KERNEL32.dll	GetTimeZoneInformation	
0x65b448	KERNEL32.dll	LCMapStringA	
0x65b44c	KERNEL32.dll	GetEnvironmentStringsW	
0x65b450	KERNEL32.dll	FreeEnvironmentStringsW	
0x65b454	KERNEL32.dll	GetEnvironmentStrings	
0x65b458	KERNEL32.dll	FreeEnvironmentStringsA	
0x65b45c	KERNEL32.dll	GetStringTypeW	
0x65b460	KERNEL32.dll	GetStringTypeA	
0x65b464	KERNEL32.dll	GetFullPathNameA	
0x65b468	KERNEL32.dll	SetCurrentDirectoryA	
0x65b46c	KERNEL32.dll	SetHandleCount	
0x65b470	KERNEL32.dll	IsValidCodePage	
0x65b474	KERNEL32.dll	GetCPInfo	
0x65b478	KERNEL32.dll	GetOEMCP	
0x65b47c	KERNEL32.dll	GetACP	
0x65b480	KERNEL32.dll	HeapCreate	
0x65b484	KERNEL32.dll	HeapDestroy	
0x65b488	KERNEL32.dll	HeapReAlloc	
0x65b48c	KERNEL32.dll	LoadLibraryW	
0x65b490	KERNEL32.dll	FatalAppExitA	
0x65b494	KERNEL32.dll	SetFileAttributesW	
0x65b498	KERNEL32.dll	GetConsoleCP	
0x65b49c	KERNEL32.dll	OutputDebugStringW	
0x65b4a0	KERNEL32.dll	DebugBreak	
0x65b4a4	KERNEL32.dll	SetStdHandle	
0x65b4a8	KERNEL32.dll	GetDateFormatA	
0x65b4ac	KERNEL32.dll	GetTimeFormatA	
0x65b4b0	KERNEL32.dll	MoveFileA	
0x65b4b4	KERNEL32.dll	DeleteFileA	
0x65b4b8	KERNEL32.dll	ExitThread	
0x65b4bc	KERNEL32.dll	CreateThread	
0x65b4c0	KERNEL32.dll	GetStartupInfoA	
0x65b4c4	KERNEL32.dll	GetProcessHeap	
0x65b4c8	KERNEL32.dll	HeapAlloc	
0x65b4cc	KERNEL32.dll	GetVersionExA	
0x65b4d0	KERNEL32.dll	HeapFree	
0x65b4d4	KERNEL32.dll	GetCommandLineA	
0x65b4d8	KERNEL32.dll	GetDriveTypeA	
0x65b4dc	KERNEL32.dll	FileTimeToLocalFileTime	
0x65b4e0	KERNEL32.dll	FindClose	
0x65b4e4	KERNEL32.dll	ExitProcess	
0x65b4e8	KERNEL32.dll	InterlockedDecrement	
0x65b4ec	KERNEL32.dll	InterlockedIncrement	
0x65b4f0	KERNEL32.dll	GetLocalTime	
0x65b4f4	KERNEL32.dll	RaiseException	
0x65b4f8	KERNEL32.dll	UnhandledExceptionFilter	
0x65b4fc	KERNEL32.dll	IsBadReadPtr	
0x65b500	KERNEL32.dll	HeapValidate	
0x65b504	KERNEL32.dll	VirtualQuery	
0x65b508	KERNEL32.dll	VirtualProtect	
0x65b50c	KERNEL32.dll	RtlUnwind	
0x65b510	KERNEL32.dll	VirtualFree	
0x65b514	KERNEL32.dll	VirtualAlloc	
0x65b518	KERNEL32.dll	SetFilePointer	
0x65b51c	KERNEL32.dll	GetStartupInfoW	
0x65b520	KERNEL32.dll	PeekNamedPipe	
0x65b524	KERNEL32.dll	ConnectNamedPipe	
0x65b528	KERNEL32.dll	WaitNamedPipeW	
0x65b52c	KERNEL32.dll	SwitchToThread	
0x65b530	KERNEL32.dll	SetNamedPipeHandleState	
0x65b534	KERNEL32.dll	GetNamedPipeHandleStateA	
0x65b538	KERNEL32.dll	CreateNamedPipeW	
0x65b53c	KERNEL32.dll	CreateNamedPipeA	
0x65b540	KERNEL32.dll	OpenProcess	
0x65b544	KERNEL32.dll	TerminateProcess	
0x65b548	KERNEL32.dll	CreateJobObjectW	
0x65b54c	KERNEL32.dll	SetInformationJobObject	
0x65b550	KERNEL32.dll	CreateProcessW	
0x65b554	KERNEL32.dll	AssignProcessToJobObject	
0x65b558	KERNEL32.dll	UnregisterWaitEx	
0x65b55c	KERNEL32.dll	LCMapStringW	
0x65b560	KERNEL32.dll	GetLongPathNameW	
0x65b564	KERNEL32.dll	GetShortPathNameW	
0x65b568	KERNEL32.dll	ReadDirectoryChangesW	
0x65b56c	KERNEL32.dll	CreateDirectoryW	
0x65b570	KERNEL32.dll	RemoveDirectoryW	
0x65b574	KERNEL32.dll	CreateHardLinkW	
0x65b578	KERNEL32.dll	SetFileTime	
0x65b57c	KERNEL32.dll	GetFileAttributesW	
0x65b580	KERNEL32.dll	FlushFileBuffers	
0x65b584	KERNEL32.dll	MoveFileExW	
0x65b588	KERNEL32.dll	DeviceIoControl	
0x65b58c	KERNEL32.dll	GetFileInformationByHandle	
0x65b590	KERNEL32.dll	CreateFileW	
0x65b594	KERNEL32.dll	SetConsoleCtrlHandler	
0x65b598	KERNEL32.dll	GetConsoleCursorInfo	
0x65b59c	KERNEL32.dll	SetConsoleCursorInfo	
0x65b5a0	KERNEL32.dll	SetConsoleTextAttribute	
0x65b5a4	KERNEL32.dll	FillConsoleOutputCharacterW	
0x65b5a8	KERNEL32.dll	FillConsoleOutputAttribute	
0x65b5ac	KERNEL32.dll	SetConsoleCursorPosition	
0x65b5b0	KERNEL32.dll	WriteConsoleW	
0x65b5b4	KERNEL32.dll	WriteConsoleInputW	
0x65b5b8	KERNEL32.dll	ReadConsoleW	
0x65b5bc	KERNEL32.dll	QueueUserWorkItem	
0x65b5c0	KERNEL32.dll	GetNumberOfConsoleInputEvents	
0x65b5c4	KERNEL32.dll	ReadConsoleInputW	
0x65b5c8	KERNEL32.dll	SetConsoleMode	
0x65b5cc	KERNEL32.dll	DuplicateHandle	
0x65b5d0	KERNEL32.dll	GetConsoleScreenBufferInfo	
0x65b5d4	KERNEL32.dll	GetProcessTimes	
0x65b5d8	KERNEL32.dll	FileTimeToSystemTime	
0x65b5dc	KERNEL32.dll	VerSetConditionMask	
0x65b5e0	KERNEL32.dll	VerifyVersionInfoA	
0x65b5e4	KERNEL32.dll	QueryPerformanceCounter	
0x65b5e8	KERNEL32.dll	GetConsoleTitleW	
0x65b5ec	KERNEL32.dll	SetConsoleTitleW	
0x65b5f0	KERNEL32.dll	GlobalMemoryStatusEx	
0x65b5f4	KERNEL32.dll	SetCurrentDirectoryW	
0x65b5f8	KERNEL32.dll	SetEnvironmentVariableW	
0x65b5fc	KERNEL32.dll	GetCurrentDirectoryW	
0x65b600	KERNEL32.dll	GetModuleFileNameW	
0x65b604	KERNEL32.dll	QueryPerformanceFrequency	
0x65b608	KERNEL32.dll	LocalFree	
0x65b60c	KERNEL32.dll	TlsSetValue	
0x65b610	KERNEL32.dll	TlsGetValue	
0x65b614	KERNEL32.dll	TlsFree	
0x65b618	KERNEL32.dll	TlsAlloc	
0x65b61c	KERNEL32.dll	WaitForMultipleObjects	
0x65b620	KERNEL32.dll	ResetEvent	
0x65b624	KERNEL32.dll	CreateSemaphoreA	
0x65b628	KERNEL32.dll	TryEnterCriticalSection	
0x65b62c	KERNEL32.dll	ResumeThread	
0x65b630	KERNEL32.dll	SetEvent	
0x65b634	KERNEL32.dll	GetFileType	
0x65b638	KERNEL32.dll	GetConsoleMode	
0x65b63c	KERNEL32.dll	CancelIo	
0x65b640	KERNEL32.dll	RegisterWaitForSingleObject	
0x65b644	KERNEL32.dll	CreateEventA	
0x65b648	KERNEL32.dll	UnregisterWait	
0x65b64c	KERNEL32.dll	SetHandleInformation	
