code_va	function_start	string_va	encoding	string
0x401494	0x401484	0x4014da	ascii	iCmdNum
0x4014a0	0x401484	0x4014cc	ascii	oBufferWriter
0x4014ac	0x401484	0x4014c1	ascii	ucDataType
0x4014b8	0x401484	0x4014bc	ascii	pack
0x4016c4	0x4016b4	0x40170a	ascii	iCmdNum
0x4016d0	0x4016b4	0x4016fc	ascii	oBufferWriter
0x4016dc	0x4016b4	0x4016f1	ascii	ucDataType
0x4016e8	0x4016b4	0x4016ec	ascii	pack
0x401737	0x401720	0x4048b9	ascii	SVWQ
0x401834	0x401824	0x40187a	ascii	iCmdNum
0x401840	0x401824	0x40186c	ascii	oBufferWriter
0x40184c	0x401845	0x401861	ascii	ucDataType
0x401858	0x401845	0x40185c	ascii	pack
0x401aa4	0x401a94	0x401acd	ascii	oBufferReader
0x401ab0	0x401a94	0x401ac8	ascii	iCmd
0x401abc	0x401a94	0x401ac0	ascii	iCmdNum
0x401c84	0x401c74	0x401c88	ascii	datatype
0x401cc5	0x401ca0	0x401df0	utf16le	譕櫬棿逖d
0x402048	0x402038	0x402061	ascii	pszBufferA
0x402054	0x402038	0x402058	ascii	pszNameA
0x4020e5	0x4020c0	0x402140	utf16le	譕櫬棿遈d
0x402484	0x402471	0x4024c3	ascii	_convert_ex
0x402490	0x402485	0x4024ad	ascii	_AtlSafeAllocaManager
0x40249c	0x402485	0x4024a0	ascii	_$AllocaPad$
0x4025e8	0x402550	0x65c378	utf16le	c:\program files (x86)\microsoft visual studio 8\vc\atlmfc\include\atlalloc.h
0x4026cc	0x4026bc	0x4026fa	ascii	bStackAvailable
0x4026d8	0x4026bc	0x4026f5	ascii	size
0x4026e4	0x4026bc	0x4026e8	ascii	_$AllocaPad$
0x402735	0x402710	0x65c4cc	utf16le	lpw != 0
0x402745	0x402710	0x65c430	utf16le	c:\program files (x86)\microsoft visual studio 8\vc\atlmfc\include\atlconv.h
0x402760	0x402710	0x65c418	utf16le	lpa != 0
0x402770	0x402710	0x65c430	utf16le	c:\program files (x86)\microsoft visual studio 8\vc\atlmfc\include\atlconv.h
0x4027e0	0x402710	0x65c430	utf16le	c:\program files (x86)\microsoft visual studio 8\vc\atlmfc\include\atlconv.h
0x402843	0x402820	0x65c530	ascii	AtlThrow: hr = 0x%x\n
0x40285f	0x402820	0x65c4e0	ascii	c:\program files (x86)\microsoft visual studio 8\vc\atlmfc\include\atlexcept.h
0x402a15	0x4029f0	0x402a60	utf16le	譕櫬棿遻d
0x402bc0	0x402bb0	0x402bc4	ascii	pszA
0x402bf5	0x402bd0	0x402c40	utf16le	譕櫬棿邸d
0x402f24	0x402f14	0x402f63	ascii	_convert_ex
0x402f30	0x402f14	0x402f4d	ascii	_AtlSafeAllocaManager
0x402f3c	0x402f14	0x402f40	ascii	_$AllocaPad$
0x402f95	0x402f70	0x402fd0	utf16le	譕櫬棿部d
0x40302a	0x402fd0	0x65c5e4	utf16le	__atl_condVal
0x40303a	0x402fd0	0x65c548	utf16le	c:\program files (x86)\microsoft visual studio 8\vc\atlmfc\include\cstringt.h
0x403328	0x403315	0x403367	ascii	_convert_ex
0x403334	0x403315	0x403351	ascii	_AtlSafeAllocaManager
0x403340	0x403315	0x403344	ascii	_$AllocaPad$
0x4033a5	0x403380	0x65c418	utf16le	lpa != 0
0x4033b5	0x403380	0x65c430	utf16le	c:\program files (x86)\microsoft visual studio 8\vc\atlmfc\include\atlconv.h
0x4033d0	0x403380	0x65c4cc	utf16le	lpw != 0
0x4033e0	0x403380	0x65c430	utf16le	c:\program files (x86)\microsoft visual studio 8\vc\atlmfc\include\atlconv.h
0x40344e	0x403380	0x65c430	utf16le	c:\program files (x86)\microsoft visual studio 8\vc\atlmfc\include\atlconv.h
0x4035d5	0x4035b0	0x403610	utf16le	譕櫬棿鄘d
0x40366a	0x403610	0x65c5e4	utf16le	__atl_condVal
0x40367a	0x403610	0x65c548	utf16le	c:\program files (x86)\microsoft visual studio 8\vc\atlmfc\include\cstringt.h
0x403968	0x403955	0x4039a7	ascii	_convert_ex
0x403974	0x403955	0x403991	ascii	_AtlSafeAllocaManager
0x403980	0x403955	0x403984	ascii	_$AllocaPad$
0x404310	0x4042fd	0x404314	ascii	scoped_lock
0x404d82	0x4049b0	0x65c60c	ascii	%d|%d|%d|%d.%d|%d.%d|%s.%s
0x404e25	0x4049b0	0x65c604	ascii	%02x
0x404f1a	0x4049b0	0x65c604	ascii	%02x
0x40500c	0x404fe4	0x40504e	ascii	btDigest
0x405018	0x404fe4	0x405043	ascii	pszDigest1
