name	start	end	size	instruction_count	direct_calls	import_calls_or_refs	string_refs_sample
sub_00401000	0x401000	0x401090	144	59	sub_00401090,sub_0049DC80,sub_004E5F10		
sub_00401090	0x401090	0x401150	192	58	sub_00401150,sub_004E5F10,sub_004E61F0		
sub_00401150	0x401150	0x4011e0	144	48	sub_0049EE10,sub_0049EF90,sub_004E5F10		
sub_004011E0	0x4011e0	0x401250	112	48	sub_0049DE20,sub_0049DEA0,sub_004E5F10		
sub_00401250	0x401250	0x4012b0	96	38	sub_0049DF20,sub_004E5F10		
sub_004012B0	0x4012b0	0x401310	96	44	sub_0049E0E0,sub_004E5F10		
sub_00401310	0x401310	0x401484	372	113	sub_004014F0,sub_00401540,sub_0049E190,sub_0049ED90,sub_004A0A80,sub_004A0B50,sub_004A0C30,sub_004E5F10,sub_004E5F40,sub_004E6810,sub_004E6820		
sub_00401484	0x401484	0x4014f0	108	55			iCmdNum | oBufferWriter | ucDataType | pack
sub_004014F0	0x4014f0	0x401540	80	32			
sub_00401540	0x401540	0x401570	48	21			
sub_00401570	0x401570	0x4016b4	324	97	sub_004014F0,sub_00401540,sub_0049E190,sub_0049ED90,sub_004A0A80,sub_004A0B50,sub_004A0C30,sub_004E5F10,sub_004E5F40,sub_004E6810,sub_004E6820		
sub_004016B4	0x4016b4	0x401720	108	59			iCmdNum | oBufferWriter | ucDataType | pack
sub_00401720	0x401720	0x401824	260	79	sub_004014F0,sub_00401540,sub_0049E190,sub_0049ED90,sub_004A0A80,sub_004A0B50,sub_004A0C30,sub_004E5F10,sub_004E5F40,sub_004E6810,sub_004E6820		SVWQ
sub_00401824	0x401824	0x401845	33	19			iCmdNum | oBufferWriter
sub_00401845	0x401845	0x401890	75	39			ucDataType | pack
sub_00401890	0x401890	0x4018e0	80	27	sub_0043D420,sub_004E5F10		
sub_004018E0	0x4018e0	0x401930	80	27	sub_0043D420,sub_004E5F10		
sub_00401930	0x401930	0x401980	80	27	sub_0043D420,sub_004E5F10		
sub_00401980	0x401980	0x4019d0	80	27	sub_0043D420,sub_004E5F10		
sub_004019D0	0x4019d0	0x401a94	196	66	sub_00401AE0,sub_00401B10,sub_00401B40,sub_00401BE0,sub_0043D420,sub_0043D470,sub_004A05D0,sub_004E5F10,sub_004E5F40		
sub_00401A94	0x401a94	0x401ae0	76	38			oBufferReader | iCmd | iCmdNum
sub_00401AE0	0x401ae0	0x401b10	48	22			
sub_00401B10	0x401b10	0x401b40	48	21			
sub_00401B40	0x401b40	0x401b90	80	32			
sub_00401B90	0x401b90	0x401be0	80	27	sub_0043D420,sub_004E5F10		
sub_00401BE0	0x401be0	0x401c74	148	52	sub_004A06B0,sub_004A07B0,sub_004E5F10,sub_004E5F40		
sub_00401C74	0x401c74	0x401ca0	44	29			datatype
sub_00401CA0	0x401ca0	0x401d10	112	44	sub_00401D10,sub_004E5F10	KERNEL32.dll!GetEnvironmentVariableW	譕櫬棿逖d
sub_00401D10	0x401d10	0x401da0	144	49	sub_00401DA0,sub_004E5F10	KERNEL32.dll!GetVersion	
sub_00401DA0	0x401da0	0x401df0	80	32	sub_004E5F10	KERNEL32.dll!InterlockedExchange	
sub_00401DF0	0x401df0	0x402038	584	155	sub_00402070,sub_00405440,sub_00405480,sub_004054D0,sub_00405500,sub_00405550,sub_004055B0,sub_00405610,sub_004E5F10,sub_004E5F40,sub_004E6810	KERNEL32.dll!GetEnvironmentVariableA,KERNEL32.dll!MultiByteToWideChar	
sub_00402038	0x402038	0x402070	56	27			pszBufferA | pszNameA
sub_00402070	0x402070	0x4020c0	80	38	sub_004E5F10		
sub_004020C0	0x4020c0	0x402140	128	54	sub_00401D10,sub_004E5F10	KERNEL32.dll!CompareStringW	譕櫬棿遈d
sub_00402140	0x402140	0x402471	817	221	sub_00402070,sub_004024D0,sub_00402550,sub_00402710,sub_00402820,sub_00405290,sub_004052D0,sub_00405390,sub_004E5F10,sub_004E5FA0,sub_004E5FD0,sub_004E6810,sub_004E6850	KERNEL32.dll!CompareStringA,KERNEL32.dll!lstrlenW	
sub_00402471	0x402471	0x402485	20	11			_convert_ex
